AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
4626.0,2767.0,1136.2,0.0,1136.2,4244.0,199.0,Online Presence Package A,1
4648.0,3012.0,574.28,0.0,574.28,4231.0,100.0,Online Presence Package A,1
4649.0,3018.0,574.28,0.0,574.28,4231.0,100.0,Local Listing (City),1
4650.0,3029.0,574.28,0.0,574.28,4231.0,100.0,Local Listing (City),1
4653.0,159678.0,846.66,21.88,824.78,1291.0,49.99,Amnesty Listing B,1
4658.0,7092.0,714.3,0.0,714.3,4220.0,49.95,Local Listing (City),1
4662.0,7765.0,714.3,0.0,714.3,4225.0,99.0,Local Listing (City),1
4663.0,3414.0,866.6,0.0,866.6,4233.0,49.95,Local Listing (City),1
4670.0,7095.0,569.6700000000001,0.0,569.6700000000001,4221.0,40.0,Local Listing (City),1
4671.0,7102.0,569.6700000000001,0.0,569.6700000000001,4221.0,40.0,Local Listing (City),1
4672.0,4089.0,714.3,0.0,714.3,4228.0,49.95,Local Listing (City),1
4693.0,5138.0,720.4,0.0,720.4,4239.0,49.95,Online Presence Package A,1
4694.0,5146.0,720.4,0.0,720.4,4239.0,49.95,Online Presence Package A,1
4713.0,4676.0,720.4,30.52,689.88,4234.0,199.0,Local Listing (City),1
4719.0,5541.0,574.28,0.0,574.28,4234.0,100.0,Local Listing (City),1
4721.0,5544.0,720.4,0.0,720.4,4234.0,100.0,Online Presence Package A,1
4737.0,327278.0,4313.38,219.2,4094.18,685.0,1.0,Winback Listing Easy Start B,1
4738.0,5311.0,569.6700000000001,81.96,487.71000000000004,4221.0,49.95,Local Listing (City),1
4739.0,5313.0,569.6700000000001,52.8,516.87,4221.0,49.95,Local Listing (City),1
4740.0,753805.0,569.6700000000001,81.96,487.71000000000004,31.0,0.0,Amnesty Listing B,1
4741.0,5316.0,569.6700000000001,81.96,487.71000000000004,4221.0,49.95,Local Listing (City),1
4743.0,4039.0,720.4,0.0,720.4,4228.0,49.95,Local Listing (City),1
4761.0,5356.0,859.08,0.0,859.08,4211.0,149.95,Local Listing (City),1
4791.0,5976.0,227.84,0.0,227.84,4232.0,49.0,Local Listing (City),1
4798.0,6356.0,714.3,0.0,714.3,4202.0,100.0,Online Presence Package A,1
4849.0,8032.0,549.42,0.0,549.42,4207.0,199.0,Local Listing (City),1
4858.0,7332.0,714.3,0.0,714.3,4202.0,149.85,Local Listing (City),1
4888.0,7449.0,470.1,0.0,470.1,4202.0,49.95,Local Listing (City),1
4890.0,7016.0,714.3,0.0,714.3,4171.0,49.95,Online Presence Package A,1
4903.0,228264.0,1148.78,0.0,1148.78,976.0,1.99,Winback Listing B,1
4908.0,32072.0,714.42,61.04,653.38,2131.0,49.99,Online Presence Package A,1
4909.0,5610.0,574.28,48.62,525.6600000000001,4221.0,50.0,Online Presence Package A,1
4910.0,5564.0,574.28,48.62,525.6600000000001,4219.0,39.99,Online Presence Package A,1
4957.0,516842.0,171.07,0.0,171.07,420.0,1.0,Winback Listing B,3
4957.0,830646.0,122.1,0.0,122.1,30.0,0.0,Amnesty Listing B,3
4957.0,883818.0,244.2,0.0,244.2,30.0,0.0,Amnesty Listing B,3
4972.0,3002.0,866.6,155.58,711.02,4207.0,50.0,Online Presence Package A,1
4996.0,5066.0,365.4,0.0,365.4,3711.0,25.0,Online Presence Package A,1
5047.0,4238.0,990.0,0.0,990.0,4204.0,175.0,Local Listing (City),1
5055.0,4411.0,1012.8,42.94,969.86,3714.0,69.95,Online Presence Package A,1
5062.0,4320.0,720.4,0.0,720.4,4202.0,49.95,Local Listing (City),1
5066.0,4312.0,1148.78,175.56,973.22,4203.0,79.99,Online Presence Package A,1
5105.0,5550.0,659.35,0.0,659.35,4210.0,149.95,Local Listing (City),1
5150.0,5168.0,569.6700000000001,86.84,482.83000000000004,4189.0,50.0,Local Listing (City),1
5152.0,753858.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
5154.0,753791.0,569.6700000000001,81.96,487.71000000000004,31.0,0.0,Amnesty Listing B,1
5155.0,753723.0,569.6700000000001,81.96,487.71000000000004,31.0,0.0,Amnesty Listing B,1
5156.0,753865.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
5158.0,33834.0,714.42,0.0,714.42,2113.0,50.0,Online Presence Package A,1
5251.0,5498.0,86.9,0.0,86.9,4202.0,49.0,Local Listing (City),1
5252.0,5231.0,1126.86,0.0,1126.86,4184.0,199.0,Local Listing (City),1
5275.0,6087.0,708.0,0.0,708.0,4202.0,49.0,Local Listing (City),1
5276.0,6090.0,720.4,0.0,720.4,4202.0,49.95,Local Listing (City),1
